id,Vendor Name,Contract ID,Title/Purpose,Execution Date,Original Expiration Date,Current Expiration Date,Original Contract Amount,Current Contract Amount,Selection Process,Funding Sources,Modifications
S-00318931,VERIZON WIRELESS,S-00318931,AIRTIME AND EQUIPMENT,1/31/2017,7/31/2017,7/31/2017,"$300,000.00","$49,011.55",C,,N
SW-0318908,EVERGREEN TECHNOLOGIES INC,SW-0318908,TELECOMMUNICATIONS ON-CALL PORTWIDE 2017,2/3/2017,12/17/2017,11/3/2018,"$300,000.00","$300,000.00",C,,N
S-00318943,PRAXAIR,S-00318943,COMPRESSED GASES AND CYLINDER RENTALS,2/1/2017,12/31/2017,12/31/2017,"$50,000.00",$0.00,C,00010,N
P-00318702,Architectural Alliance International,P-00318702,"RESTROOM UPGRADE CONCOURSES B, C, AND D",1/31/2017,1/31/2024,1/31/2024,"$3,100,000.00","$3,100,000.00",C,,N
L-00318934,FOSTER PEPPER PLLC,L-00318934,RE WESLEY HOMES,2/1/2017,12/31/2017,12/31/2017,"$100,000.00","$100,000.00",W,03040,N
S-00318950,JAI S BRADFORD,S-00318950,ONSITE MONTHLY FLEET WASHING,2/15/2017,12/31/2017,12/31/2017,"$25,000.00",$0.00,C,00010,N
L-00318933,FOSTER PEPPER PLLC,L-00318933,RE EXPEDIA EXPANSION,1/31/2017,12/31/2017,12/31/2017,"$10,000.00","$10,000.00",W,00010,N
P-00318738,WHH NISQUALLY FEDERAL SERVICES,P-00318738,1630 OHTA AVEND,2/1/2017,1/31/2018,1/31/2018,"$500,000.00","$500,000.00",C,,N
MC-0318573,SCARSELLA BROS. INC.,MC-0318573,LORA LAKE APARTMENT REMEDIATION AND LORA LAKE FILL,1/30/2017,10/31/2019,4/30/2020,"$8,926,465.00",$0.00,C,,N
L-00318930,DAVIS WRIGHT TREMAINE,L-00318930,RE T5 APPEAL AND PDR,1/30/2017,12/31/2017,12/31/2017,"$20,000.00","$20,000.00",W,CASPA,N
MC-0317893,M A MORTENSON COMPANY,MC-0317893,ALTERNATE UTILITY FACILITY,1/20/2017,3/28/2018,12/31/2018,"$29,890,672.00","$29,890,672.00",C,03040,Y
C-00318920,VITRA INC,C-00318920,AIRPORT GATE SEATING,1/20/2017,12/31/2026,12/31/2026,"$20,000,000.00","$20,000,000.00",C,,N
P-00318739,PARAMETRIX INC,P-00318739,1630 OHTA AVENG,1/25/2017,1/24/2018,1/24/2018,"$2,000,000.00","$2,000,000.00",C,,N
S-00318918,AIRSERV CORP,S-00318918,CART SVC TO MAIN TERMINAL,1/5/2017,6/30/2017,12/31/2017,"$60,000.00",$0.00,C,03040,N
L-00318921,ROBYNNE T PARKINSON,L-00318921,LGL SERVICES RELATED TO IAF,1/13/2017,12/31/2017,12/31/2017,"$10,000.00","$10,000.00",W,03040,N
S-00318875,CITY OF PACIFIC,S-00318875,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF PACIFIC,1/17/2017,5/31/2017,5/31/2017,"$6,770.00",$0.00,S,00020,N
L-00318927,PACIFICA LAW GROUP,L-00318927,RE TITLE VI AND I-200 REVIEW,1/18/2017,12/31/2017,12/31/2017,"$5,000.00","$5,000.00",W,00010,N
C-00318925,CLARA C SHIN,C-00318925,TEMPORARY LODGING,1/6/2017,5/6/2017,5/6/2017,"$2,800.00","$2,800.00",C,00010,N
P-00318916,"QUANTUM SPATIAL, INC",P-00318916,3320 ST LOUIS AVPM,1/6/2017,7/4/2017,7/4/2017,"$9,600.00","$9,600.00",C,03040,N
P-00318891,REGIONAL AREA YOUTH DEVELOPMENT ORG,P-00318891,OUTREACH AND REFERRAL SERVICES,1/18/2017,1/17/2018,1/17/2018,"$50,000.00","$50,000.00",C,00020,N
